SessionID,Category,Grammar Element,File Type,Total Count,Not Converted Count (Self)
85141c89-454c-4332-ac2a-5a045f33db04,Query,VALUES,SQL,76,9
85141c89-454c-4332-ac2a-5a045f33db04,Statement - Control of Flow,FOR,SQL,13,0
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,LOWER,SQL,2,0
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,NEXTVAL,SQL,6,1
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,PG_DATABASE_SIZE,SQL,1,1
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,ARRAY_LENGTH,SQL,3,3
85141c89-454c-4332-ac2a-5a045f33db04,Query,DISTINCT,SQL,11,1
85141c89-454c-4332-ac2a-5a045f33db04,DDL,CREATE SCHEMA,SQL,10,10
85141c89-454c-4332-ac2a-5a045f33db04,DDL,CREATE DATABASE,SQL,1,1
85141c89-454c-4332-ac2a-5a045f33db04,DDL Content,AS query_expr,SQL,22,0
85141c89-454c-4332-ac2a-5a045f33db04,Statement - Control of Flow,BEGIN...END,SQL,29,0
85141c89-454c-4332-ac2a-5a045f33db04,DDL Content,FOREIGN KEY COLUMN,SQL,8,8
85141c89-454c-4332-ac2a-5a045f33db04,DDL,CREATE TABLE,SQL,165,0
85141c89-454c-4332-ac2a-5a045f33db04,Query,INTO,SQL,39,10
85141c89-454c-4332-ac2a-5a045f33db04,Data Type,BOOLEAN,SQL,134,0
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,CORE.RANDOM_EMAIL,SQL,1,0
85141c89-454c-4332-ac2a-5a045f33db04,Operator,IN,SQL,20,10
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,CORE.RANDOM_LAST_NAME,SQL,3,0
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,INTERVAL,SQL,49,19
85141c89-454c-4332-ac2a-5a045f33db04,Operator,=,SQL,185,33
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,NULLIF,SQL,8,1
85141c89-454c-4332-ac2a-5a045f33db04,Query,ON,SQL,44,1
85141c89-454c-4332-ac2a-5a045f33db04,Operator,*,SQL,164,5
85141c89-454c-4332-ac2a-5a045f33db04,Set Operator,UNION ALL,SQL,2,0
85141c89-454c-4332-ac2a-5a045f33db04,Data Type,BIGSERIAL,SQL,38,0
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,DATE_TRUNC,SQL,15,2
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,CURRENT_DATE,SQL,64,12
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,CORE.EXPORT_ALL_TABLES_TO_CSV,SQL,1,0
85141c89-454c-4332-ac2a-5a045f33db04,DDL,ALTER TABLE,SQL,20,7
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,ROUND,SQL,8,0
85141c89-454c-4332-ac2a-5a045f33db04,Data Type,TABLE,SQL,5,0
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,EXTRACT,SQL,14,3
85141c89-454c-4332-ac2a-5a045f33db04,Operator,generate_series,SQL,15,15
85141c89-454c-4332-ac2a-5a045f33db04,DDL Content,NOT NULL COLUMN,SQL,491,0
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,SQRT,SQL,1,0
85141c89-454c-4332-ac2a-5a045f33db04,Data Type,BIGINT,SQL,55,11
85141c89-454c-4332-ac2a-5a045f33db04,DDL Content,[Create Table] CHECK,SQL,8,8
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,JSONB_BUILD_OBJECT,SQL,6,6
85141c89-454c-4332-ac2a-5a045f33db04,Query,WHERE,SQL,99,25
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,COUNT,SQL,85,16
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,CURRENT_TIMESTAMP,SQL,202,9
85141c89-454c-4332-ac2a-5a045f33db04,Data Type,SERIAL,SQL,124,0
85141c89-454c-4332-ac2a-5a045f33db04,DDL,DROP TABLE,SQL,1,1
85141c89-454c-4332-ac2a-5a045f33db04,Operator,SUBSCRIPT ACCESS,SQL,20,0
85141c89-454c-4332-ac2a-5a045f33db04,Operator,NOT IN,SQL,1,0
85141c89-454c-4332-ac2a-5a045f33db04,Data Type,VARCHAR,SQL,518,2
85141c89-454c-4332-ac2a-5a045f33db04,Query,JOIN,SQL,27,1
85141c89-454c-4332-ac2a-5a045f33db04,Data Type,DECIMAL,SQL,543,1
85141c89-454c-4332-ac2a-5a045f33db04,Statement,COMMENT,SQL,51,6
85141c89-454c-4332-ac2a-5a045f33db04,Operator,LIKE,SQL,1,1
85141c89-454c-4332-ac2a-5a045f33db04,Operator,!=,SQL,7,2
85141c89-454c-4332-ac2a-5a045f33db04,Operator,IS NULL / IS NOT NULL,SQL,8,0
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,PG_SIZE_PRETTY,SQL,2,2
85141c89-454c-4332-ac2a-5a045f33db04,Operator,BETWEEN,SQL,5,0
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,MIN,SQL,3,0
85141c89-454c-4332-ac2a-5a045f33db04,Data Type,INET,SQL,3,3
85141c89-454c-4332-ac2a-5a045f33db04,Statement,ROW_COUNT,SQL,2,0
85141c89-454c-4332-ac2a-5a045f33db04,Statement,EXECUTE,SQL,1,0
85141c89-454c-4332-ac2a-5a045f33db04,Query,DESC,SQL,23,0
85141c89-454c-4332-ac2a-5a045f33db04,DDL Content,REFERENCES COLUMN,SQL,281,0
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,POWER,SQL,4,0
85141c89-454c-4332-ac2a-5a045f33db04,Operator,FIELD ACCESS,SQL,543,22
85141c89-454c-4332-ac2a-5a045f33db04,Query,LIMIT,SQL,10,0
85141c89-454c-4332-ac2a-5a045f33db04,Data Type,CHAR,SQL,38,0
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,CURRENT_DATABASE,SQL,1,1
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,NULL,SQL,27,4
85141c89-454c-4332-ac2a-5a045f33db04,Statement,ASSIGNMENT EXPR,SQL,17,0
85141c89-454c-4332-ac2a-5a045f33db04,Query,GROUP BY,SQL,16,0
85141c89-454c-4332-ac2a-5a045f33db04,Operator,/,SQL,27,4
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,CORE.RANDOM_PHONE,SQL,2,0
85141c89-454c-4332-ac2a-5a045f33db04,Operator,>=,SQL,25,7
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,PG_TOTAL_RELATION_SIZE,SQL,1,1
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,GEN_SALT,SQL,3,3
85141c89-454c-4332-ac2a-5a045f33db04,Set Operator,EXCEPT,SQL,103,18
85141c89-454c-4332-ac2a-5a045f33db04,DML,TRUNCATE TABLE,SQL,50,0
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,MAX,SQL,7,0
85141c89-454c-4332-ac2a-5a045f33db04,Operator,<,SQL,42,0
85141c89-454c-4332-ac2a-5a045f33db04,Operator,-,SQL,69,6
85141c89-454c-4332-ac2a-5a045f33db04,Operator,EXISTS / NOT EXISTS,SQL,6,0
85141c89-454c-4332-ac2a-5a045f33db04,DDL,CREATE TRIGGER,SQL,3,3
85141c89-454c-4332-ac2a-5a045f33db04,Operator,+,SQL,143,4
85141c89-454c-4332-ac2a-5a045f33db04,DDL,ALTER TABLE table_constraint,SQL,34,12
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,FLOOR,SQL,68,3
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,CORE.PROCESS_TRANSACTION,SQL,3,0
85141c89-454c-4332-ac2a-5a045f33db04,DDL Content,FORMAL PARAMETER DECLARATION,SQL,56,2
85141c89-454c-4332-ac2a-5a045f33db04,Functions & Expressions,RANDOM,SQL,169,3
85141c89-454c-4332-ac2a-5a045f33db04,Statement - Control of Flow,IF,SQL,19,0
85141c89-454c-4332-ac2a-5a045f33db04,DDL,CREATE FUNCTION,SQL,30,0
85141c89-454c-4332-ac2a-5a045f33db04,DDL,ALTER SEQUENCE,SQL,8,8
85141c89-454c-4332-ac2a-5a045f33db04,Data Type,DATE,SQL,210,0
85141c89-454c-4332-ac2a-5a045f33db04,Query,SELECT,SQL,141,34
85141c89-454c-4332-ac2a-5a045f33db04,DDL Content,LANGUAGE,SQL,31,1
85141c89-454c-4332-ac2a-5a045f33db04,DDL,CREATE VIEW,SQL,22,0
85141c89-454c-4332-ac2a-5a045f33db04,DDL Content,OR REPLACE,SQL,52,26
