PartitionKey,FileName,Caller_CodeUnit,Caller_CodeUnit_Database,Caller_CodeUnit_Schema,Caller_CodeUnit_Name,Caller_CodeUnit_FullName,Referenced_Element_Type,Referenced_Element_Database,Referenced_Element_Schema,Referenced_Element_Name,Referenced_Element_FullName,Line,Relation_Type
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,states,core.states,CREATE TABLE,N/A,core,countries,core.countries,22,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,cities,core.cities,CREATE TABLE,N/A,core,states,core.states,32,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,exchange_rates,core.exchange_rates,CREATE TABLE,N/A,core,currencies,core.currencies,52,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,exchange_rates,core.exchange_rates,CREATE TABLE,N/A,core,currencies,core.currencies,53,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,customers,core.customers,CREATE TABLE,N/A,core,customer_types,core.customer_types,82,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,customers,core.customers,CREATE TABLE,N/A,core,customer_status,core.customer_status,83,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,customer_addresses,core.customer_addresses,CREATE TABLE,N/A,core,customers,core.customers,106,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,customer_addresses,core.customer_addresses,CREATE TABLE,N/A,core,cities,core.cities,110,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,branches,core.branches,CREATE TABLE,N/A,core,cities,core.cities,125,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,accounts,core.accounts,CREATE TABLE,N/A,core,customers,core.customers,163,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,accounts,core.accounts,CREATE TABLE,N/A,core,account_types,core.account_types,164,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,accounts,core.accounts,CREATE TABLE,N/A,core,branches,core.branches,165,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,accounts,core.accounts,CREATE TABLE,N/A,core,account_status,core.account_status,166,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,accounts,core.accounts,CREATE TABLE,N/A,core,currencies,core.currencies,167,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,account_joint_holders,core.account_joint_holders,CREATE TABLE,N/A,core,accounts,core.accounts,183,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,account_joint_holders,core.account_joint_holders,CREATE TABLE,N/A,core,customers,core.customers,184,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,transactions,core.transactions,CREATE TABLE,N/A,core,accounts,core.accounts,218,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,transactions,core.transactions,CREATE TABLE,N/A,core,transaction_types,core.transaction_types,219,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,transactions,core.transactions,CREATE TABLE,N/A,core,transaction_status,core.transaction_status,220,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,transactions,core.transactions,CREATE TABLE,N/A,core,currencies,core.currencies,222,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,transaction_legs,core.transaction_legs,CREATE TABLE,N/A,core,transactions,core.transactions,243,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,transaction_legs,core.transaction_legs,CREATE TABLE,N/A,core,accounts,core.accounts,244,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,transaction_legs,core.transaction_legs,CREATE TABLE,N/A,core,currencies,core.currencies,247,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,gl_accounts,core.gl_accounts,CREATE TABLE,N/A,core,gl_accounts,core.gl_accounts,258,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,gl_transaction_details,core.gl_transaction_details,CREATE TABLE,N/A,core,gl_transactions,core.gl_transactions,285,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,gl_transaction_details,core.gl_transaction_details,CREATE TABLE,N/A,core,gl_accounts,core.gl_accounts,286,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,product_categories,core.product_categories,CREATE TABLE,N/A,core,product_categories,core.product_categories,300,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,products,core.products,CREATE TABLE,N/A,core,product_categories,core.product_categories,310,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,customer_products,core.customer_products,CREATE TABLE,N/A,core,customers,core.customers,326,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,customer_products,core.customer_products,CREATE TABLE,N/A,core,products,core.products,327,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,customer_products,core.customer_products,CREATE TABLE,N/A,core,accounts,core.accounts,328,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,employees,core.employees,CREATE TABLE,N/A,core,branches,core.branches,345,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,02_core_tables.sql,CREATE TABLE,N/A,core,employees,core.employees,CREATE TABLE,N/A,core,employees,core.employees,348,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,03_trading_tables.sql,CREATE TABLE,N/A,trading,exchanges,trading.exchanges,CREATE TABLE,N/A,core,countries,core.countries,23,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,03_trading_tables.sql,CREATE TABLE,N/A,trading,exchanges,trading.exchanges,CREATE TABLE,N/A,core,currencies,core.currencies,27,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,03_trading_tables.sql,CREATE TABLE,N/A,trading,securities,trading.securities,CREATE TABLE,N/A,trading,exchanges,trading.exchanges,47,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,03_trading_tables.sql,CREATE TABLE,N/A,trading,securities,trading.securities,CREATE TABLE,N/A,trading,security_types,trading.security_types,48,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,03_trading_tables.sql,CREATE TABLE,N/A,trading,securities,trading.securities,CREATE TABLE,N/A,core,currencies,core.currencies,53,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,03_trading_tables.sql,CREATE TABLE,N/A,trading,securities,trading.securities,CREATE TABLE,N/A,core,countries,core.countries,54,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,03_trading_tables.sql,CREATE TABLE,N/A,trading,market_data,trading.market_data,CREATE TABLE,N/A,trading,securities,trading.securities,72,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,03_trading_tables.sql,CREATE TABLE,N/A,trading,real_time_quotes,trading.real_time_quotes,CREATE TABLE,N/A,trading,securities,trading.securities,89,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,03_trading_tables.sql,CREATE TABLE,N/A,trading,real_time_quotes,trading.real_time_quotes,CREATE TABLE,N/A,trading,market_data_providers,trading.market_data_providers,98,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,03_trading_tables.sql,CREATE TABLE,N/A,trading,trading_accounts,trading.trading_accounts,CREATE TABLE,N/A,core,customers,core.customers,106,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,03_trading_tables.sql,CREATE TABLE,N/A,trading,trading_accounts,trading.trading_accounts,CREATE TABLE,N/A,core,currencies,core.currencies,108,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,03_trading_tables.sql,CREATE TABLE,N/A,trading,portfolios,trading.portfolios,CREATE TABLE,N/A,core,customers,core.customers,123,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,03_trading_tables.sql,CREATE TABLE,N/A,trading,portfolios,trading.portfolios,CREATE TABLE,N/A,trading,trading_accounts,trading.trading_accounts,124,TABLE COLUMN
85141c89-454c-4332-ac2a-5a045f33db04,03_trading_tables.sql,CREATE TABLE,N/A,trading,portfolios,trading.portfolios,CREATE TABLE,N/A,core,employees,core.employees,125,TABLE COLUMN
