PartitionKey,FileType,Category,CodeUnit,CodeUnitId,FileName,LineNumber,LinesOfCode,EWI Count,FDM Count,PRF Count,HighestEWISeverity,UDFsUsed,EWI,FDM,PRF,ConversionStatus,LoCConversionPercentage,Deployment Order
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,analytics.executive_dashboard,09_views.sql,457,29,2,1,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-0007,N/A,Partial,24.14%,8*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,loans.origination_pipeline,09_views.sql,435,21,0,1,0,N/A,N/A,N/A,SSC-FDM-0007,N/A,Success,100%,6*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,treasury.interest_rate_risk_summary,09_views.sql,413,21,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,compliance.transaction_monitoring,09_views.sql,394,18,1,1,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-0007,N/A,Partial,94.44%,7*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,analytics.customer_segmentation,09_views.sql,377,16,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,3
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,analytics.operational_metrics,09_views.sql,352,24,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,95.83%,1
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,analytics.product_performance_summary,09_views.sql,329,22,0,1,0,N/A,N/A,N/A,SSC-FDM-0007,N/A,Success,100%,3*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,analytics.branch_performance,09_views.sql,300,28,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,96.43%,7
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,analytics.profitability_analysis,09_views.sql,282,17,0,1,0,N/A,N/A,N/A,SSC-FDM-0007,N/A,Success,100%,3*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,compliance.compliance_status,09_views.sql,257,24,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,6
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,compliance.aml_alerts_dashboard,09_views.sql,236,20,1,1,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-0007,N/A,Partial,95%,7*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,risk.credit_risk_dashboard,09_views.sql,218,17,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,1
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,risk.risk_exposure_summary,09_views.sql,194,23,1,0,0,Medium,N/A,SSC-EWI-0073,N/A,N/A,Partial,95.65%,8
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,trading.trading_activity,09_views.sql,170,23,1,1,0,Medium,N/A,SSC-EWI-0073,SSC-FDM-0007,N/A,Partial,95.65%,8*
85141c89-454c-4332-ac2a-5a045f33db04,SQL,VIEW,CREATE VIEW,trading.portfolio_performance,09_views.sql,142,27,0,0,0,N/A,N/A,N/A,N/A,N/A,Success,100%,7
